sample_id,question_id,split,domain,variant,label,text
q10_rewrite,q10,eval_rewrite_train_topics,research_training,ai_rewrite,1,"刚开始进组，我觉得先别把目标定得太虚。可以先读几篇综述，弄清楚大家在解决什么问题，然后挑一个小实验复现。每周把自己看了什么、卡在哪里记下来，跟师兄老师交流会更有效。"
q11_human,q11,eval_original,software_project,human,0,"图书管理系统的接口别只想着能跑。比如新增图书要检查字段，借书要判断库存和用户状态，返回结果也要统一一点。接口名和参数最好一看就懂，不然前端联调会很难受。"
q11_ai,q11,eval_original,software_project,ai_original,1,"图书管理系统的后端接口设计需要关注功能边界、数据校验和返回规范。首先，应根据业务场景划分图书、用户、借阅记录等模块。其次，接口需要对请求参数进行校验，避免无效数据进入数据库。再次，应设计统一的响应格式，便于前端处理成功、失败和异常情况。最后，需要考虑权限控制和日志记录，以提高系统的安全性和可维护性。"
q11_rewrite,q11,eval_rewrite,software_project,ai_rewrite,1,"做这种系统时，接口最好按图书、用户、借阅记录分清楚。新增和借阅这些操作都要先校验，比如书还在不在、用户能不能借。返回格式也别一会儿这样一会儿那样，不然后面联调会很麻烦。"
q12_human,q12,eval_original,large_model,human,0,"大模型本质上是在根据上下文预测接下来怎么说，它不是真的像人一样查证事实。所以它可能把听起来合理的内容拼出来，语气还很肯定。问它专业问题时，最好再去查原始资料。"
q12_ai,q12,eval_original,large_model,ai_original,1,"大模型回答看起来自信但可能出错，主要与其生成机制有关。大模型通常基于概率预测生成文本，并不具备对事实进行严格验证的能力。当训练数据中存在错误、问题表述模糊或模型缺乏相关知识时，它可能生成看似合理但实际上不准确的内容，这种现象通常被称为幻觉。因此，在医疗、法律和科研等高风险场景中，应对模型输出进行人工核验。"
q12_rewrite,q12,eval_rewrite,large_model,ai_rewrite,1,"它说话像是在下结论，但其实很多时候只是根据上下文接着往下生成。只要答案听起来顺，它就可能继续编下去。尤其是医疗、法律、论文这种问题，不能因为语气坚定就当成真的。"
q13_human,q13,eval_original,data_privacy,human,0,"用在线 AI 的时候，不要随手把身份证、病历、账号密码或者没公开的项目资料发进去。你不知道这些内容会不会被保存或用于分析。能脱敏就脱敏，必要的信息再给。"
q13_ai,q13,eval_original,data_privacy,ai_original,1,"使用在线 AI 工具时需要注意隐私保护。首先，用户输入的内容可能包含个人身份信息、商业机密或敏感数据。其次，不同平台的数据存储、日志分析和模型训练策略并不完全相同，存在潜在泄露风险。因此，在使用 AI 工具时，应避免上传身份证号、病历、密码、未公开代码和商业文件，并尽量进行脱敏处理。"
q13_rewrite,q13,eval_rewrite,data_privacy,ai_rewrite,1,"在线 AI 再方便，也别把太私人的东西直接丢进去，比如病历、身份证号、密码、没公开的代码。平台怎么保存数据你不一定清楚。能删掉姓名和编号就先删掉，再让它帮忙处理。"
q14_human,q14,eval_original,algorithm,human,0,"如果数据很不平衡，只看准确率会很骗人。比如一百个样本里九十五个都是正常，模型全猜正常也有 95% 准确率，但它根本没找到异常。所以还要看精确率、召回率、F1 这些指标。"
q14_ai,q14,eval_original,algorithm,ai_original,1,"分类任务不能只看准确率，因为准确率可能无法反映模型在不同类别上的真实表现。尤其在类别不平衡场景中，模型即使总是预测多数类，也可能获得较高准确率，但对少数类几乎没有识别能力。因此，还需要结合 Precision、Recall、F1-score 和混淆矩阵等指标进行综合评估，以判断模型是否真正有效。"
q14_rewrite,q14,eval_rewrite,algorithm,ai_rewrite,1,"准确率有时候会把问题藏起来。假如异常样本本来就很少，模型全都猜正常，数字看着还不错，但真正重要的异常一个都没抓到。所以我会再看召回率、F1 和混淆矩阵。"
q15_human,q15,eval_original,aigc_detection,human,0,"检测器经常会抓一些写作习惯，比如句子太工整、连接词太多、表达很模板化。AI 文本如果被人或另一个模型改写过，这些痕迹会变少，甚至变得像普通人写的。所以改写后检测会更不稳定。"
q15_ai,q15,eval_original,aigc_detection,ai_original,1,"AI 文本被改写后检测会变难，原因在于改写可能改变原始生成文本的统计特征和语言风格。许多检测方法依赖词频、句式、困惑度或模型生成痕迹等特征。当文本经过同义替换、句式重组、口语化处理或人工编辑后，这些特征会被削弱，从而降低检测模型的判别能力。因此，AIGC 文本检测需要关注对抗改写下的鲁棒性。"
q15_rewrite,q15,eval_rewrite,aigc_detection,ai_rewrite,1,"检测工具往往是在找一些痕迹，比如太整齐、太像模板、常用某些连接词。可是一旦把文章改得口语一点、换些说法，这些痕迹就会淡很多。它还是 AI 来的，但看起来没那么像了。"
