model,test_set,domain,accuracy,precision,recall,f1,tp,fp,tn,fn,total
hc3_char_tfidf_logreg,deepseek_casual_rewrite,large_model,0.7500,1.0000,0.5000,0.6667,1,0,2,1,4
hc3_char_tfidf_logreg,deepseek_casual_rewrite,network_engineering,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_logreg,deepseek_casual_rewrite,programming,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_logreg,deepseek_casual_rewrite,research_training,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_logreg,deepseek_casual_rewrite,software_project,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,ai_security,0.0000,0.0000,0.0000,0.0000,0,1,0,1,2
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,aigc_detection,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,algorithm,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,data_privacy,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,health_consulting,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,large_model,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,network_engineering,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,programming,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,research_training,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,software_project,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_mixed_tfidf_logreg,hc3_in_domain,finance,0.9667,1.0000,0.9333,0.9655,14,0,15,1,30
hc3_mixed_tfidf_logreg,hc3_in_domain,law,1.0000,1.0000,1.0000,1.0000,15,0,15,0,30
hc3_mixed_tfidf_logreg,hc3_in_domain,medicine,1.0000,1.0000,1.0000,1.0000,15,0,15,0,30
hc3_mixed_tfidf_logreg,hc3_in_domain,nlpcc_dbqa,0.8667,0.9231,0.8000,0.8571,12,1,14,3,30
hc3_mixed_tfidf_logreg,hc3_in_domain,open_qa,0.9667,1.0000,0.9333,0.9655,14,0,15,1,30
hc3_mixed_tfidf_logreg,hc3_in_domain,psychology,1.0000,1.0000,1.0000,1.0000,15,0,15,0,30
hc3_mixed_tfidf_logreg,deepseek_original,ai_security,0.0000,0.0000,0.0000,0.0000,0,1,0,1,2
hc3_mixed_tfidf_logreg,deepseek_original,aigc_detection,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
hc3_mixed_tfidf_logreg,deepseek_original,algorithm,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
hc3_mixed_tfidf_logreg,deepseek_original,data_privacy,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
hc3_mixed_tfidf_logreg,deepseek_original,health_consulting,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
hc3_mixed_tfidf_logreg,deepseek_original,large_model,1.0000,1.0000,1.0000,1.0000,2,0,2,0,4
hc3_mixed_tfidf_logreg,deepseek_original,network_engineering,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_mixed_tfidf_logreg,deepseek_original,programming,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
hc3_mixed_tfidf_logreg,deepseek_original,research_training,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_mixed_tfidf_logreg,deepseek_original,software_project,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_mixed_tfidf_logreg,deepseek_casual_rewrite,ai_security,0.0000,0.0000,0.0000,0.0000,0,1,0,1,2
hc3_mixed_tfidf_logreg,deepseek_casual_rewrite,aigc_detection,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
hc3_mixed_tfidf_logreg,deepseek_casual_rewrite,algorithm,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_mixed_tfidf_logreg,deepseek_casual_rewrite,data_privacy,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
hc3_mixed_tfidf_logreg,deepseek_casual_rewrite,health_consulting,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_mixed_tfidf_logreg,deepseek_casual_rewrite,large_model,0.7500,1.0000,0.5000,0.6667,1,0,2,1,4
hc3_mixed_tfidf_logreg,deepseek_casual_rewrite,network_engineering,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_mixed_tfidf_logreg,deepseek_casual_rewrite,programming,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_mixed_tfidf_logreg,deepseek_casual_rewrite,research_training,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_mixed_tfidf_logreg,deepseek_casual_rewrite,software_project,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_mixed_tfidf_logreg,deepseek_adversarial_rewrite,ai_security,0.0000,0.0000,0.0000,0.0000,0,1,0,1,2
hc3_mixed_tfidf_logreg,deepseek_adversarial_rewrite,aigc_detection,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
hc3_mixed_tfidf_logreg,deepseek_adversarial_rewrite,algorithm,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_mixed_tfidf_logreg,deepseek_adversarial_rewrite,data_privacy,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_mixed_tfidf_logreg,deepseek_adversarial_rewrite,health_consulting,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_mixed_tfidf_logreg,deepseek_adversarial_rewrite,large_model,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
hc3_mixed_tfidf_logreg,deepseek_adversarial_rewrite,network_engineering,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_mixed_tfidf_logreg,deepseek_adversarial_rewrite,programming,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_mixed_tfidf_logreg,deepseek_adversarial_rewrite,research_training,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_mixed_tfidf_logreg,deepseek_adversarial_rewrite,software_project,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_svm,hc3_in_domain,finance,0.9333,0.9333,0.9333,0.9333,14,1,14,1,30
hc3_char_tfidf_svm,hc3_in_domain,law,0.9667,0.9375,1.0000,0.9677,15,1,14,0,30
hc3_char_tfidf_svm,hc3_in_domain,medicine,1.0000,1.0000,1.0000,1.0000,15,0,15,0,30
hc3_char_tfidf_svm,hc3_in_domain,nlpcc_dbqa,0.9667,1.0000,0.9333,0.9655,14,0,15,1,30
hc3_char_tfidf_svm,hc3_in_domain,open_qa,0.9333,0.9333,0.9333,0.9333,14,1,14,1,30
hc3_char_tfidf_svm,hc3_in_domain,psychology,0.9667,0.9375,1.0000,0.9677,15,1,14,0,30
hc3_char_tfidf_svm,deepseek_original,ai_security,0.0000,0.0000,0.0000,0.0000,0,1,0,1,2
hc3_char_tfidf_svm,deepseek_original,aigc_detection,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
hc3_char_tfidf_svm,deepseek_original,algorithm,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
hc3_char_tfidf_svm,deepseek_original,data_privacy,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
hc3_char_tfidf_svm,deepseek_original,health_consulting,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
hc3_char_tfidf_svm,deepseek_original,large_model,0.7500,1.0000,0.5000,0.6667,1,0,2,1,4
hc3_char_tfidf_svm,deepseek_original,network_engineering,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_svm,deepseek_original,programming,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
hc3_char_tfidf_svm,deepseek_original,research_training,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_svm,deepseek_original,software_project,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_svm,deepseek_casual_rewrite,ai_security,0.0000,0.0000,0.0000,0.0000,0,1,0,1,2
hc3_char_tfidf_svm,deepseek_casual_rewrite,aigc_detection,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
hc3_char_tfidf_svm,deepseek_casual_rewrite,algorithm,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_svm,deepseek_casual_rewrite,data_privacy,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_svm,deepseek_casual_rewrite,health_consulting,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_svm,deepseek_casual_rewrite,large_model,0.7500,1.0000,0.5000,0.6667,1,0,2,1,4
hc3_char_tfidf_svm,deepseek_casual_rewrite,network_engineering,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_svm,deepseek_casual_rewrite,programming,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_svm,deepseek_casual_rewrite,research_training,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_svm,deepseek_casual_rewrite,software_project,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_svm,deepseek_adversarial_rewrite,ai_security,0.0000,0.0000,0.0000,0.0000,0,1,0,1,2
hc3_char_tfidf_svm,deepseek_adversarial_rewrite,aigc_detection,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
hc3_char_tfidf_svm,deepseek_adversarial_rewrite,algorithm,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_svm,deepseek_adversarial_rewrite,data_privacy,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_svm,deepseek_adversarial_rewrite,health_consulting,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_svm,deepseek_adversarial_rewrite,large_model,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
hc3_char_tfidf_svm,deepseek_adversarial_rewrite,network_engineering,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_svm,deepseek_adversarial_rewrite,programming,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_svm,deepseek_adversarial_rewrite,research_training,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_char_tfidf_svm,deepseek_adversarial_rewrite,software_project,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_char_tfidf_logreg,hc3_in_domain,finance,0.9333,1.0000,0.8667,0.9286,13,0,15,2,30
aug_char_tfidf_logreg,hc3_in_domain,law,1.0000,1.0000,1.0000,1.0000,15,0,15,0,30
aug_char_tfidf_logreg,hc3_in_domain,medicine,1.0000,1.0000,1.0000,1.0000,15,0,15,0,30
aug_char_tfidf_logreg,hc3_in_domain,nlpcc_dbqa,0.8667,1.0000,0.7333,0.8462,11,0,15,4,30
aug_char_tfidf_logreg,hc3_in_domain,open_qa,0.9333,1.0000,0.8667,0.9286,13,0,15,2,30
aug_char_tfidf_logreg,hc3_in_domain,psychology,1.0000,1.0000,1.0000,1.0000,15,0,15,0,30
aug_char_tfidf_logreg,deepseek_original,ai_security,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_char_tfidf_logreg,deepseek_original,aigc_detection,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
aug_char_tfidf_logreg,deepseek_original,algorithm,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
aug_char_tfidf_logreg,deepseek_original,data_privacy,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
aug_char_tfidf_logreg,deepseek_original,health_consulting,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
aug_char_tfidf_logreg,deepseek_original,large_model,1.0000,1.0000,1.0000,1.0000,2,0,2,0,4
aug_char_tfidf_logreg,deepseek_original,network_engineering,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_char_tfidf_logreg,deepseek_original,programming,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
aug_char_tfidf_logreg,deepseek_original,research_training,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_char_tfidf_logreg,deepseek_original,software_project,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_char_tfidf_logreg,deepseek_casual_rewrite,ai_security,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_char_tfidf_logreg,deepseek_casual_rewrite,aigc_detection,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
aug_char_tfidf_logreg,deepseek_casual_rewrite,algorithm,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_char_tfidf_logreg,deepseek_casual_rewrite,data_privacy,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_char_tfidf_logreg,deepseek_casual_rewrite,health_consulting,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_char_tfidf_logreg,deepseek_casual_rewrite,large_model,0.7500,1.0000,0.5000,0.6667,1,0,2,1,4
aug_char_tfidf_logreg,deepseek_casual_rewrite,network_engineering,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_char_tfidf_logreg,deepseek_casual_rewrite,programming,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_char_tfidf_logreg,deepseek_casual_rewrite,research_training,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_char_tfidf_logreg,deepseek_casual_rewrite,software_project,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_char_tfidf_logreg,deepseek_adversarial_rewrite,ai_security,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_char_tfidf_logreg,deepseek_adversarial_rewrite,aigc_detection,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
aug_char_tfidf_logreg,deepseek_adversarial_rewrite,algorithm,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_char_tfidf_logreg,deepseek_adversarial_rewrite,data_privacy,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_char_tfidf_logreg,deepseek_adversarial_rewrite,health_consulting,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_char_tfidf_logreg,deepseek_adversarial_rewrite,large_model,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
aug_char_tfidf_logreg,deepseek_adversarial_rewrite,network_engineering,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_char_tfidf_logreg,deepseek_adversarial_rewrite,programming,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_char_tfidf_logreg,deepseek_adversarial_rewrite,research_training,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_char_tfidf_logreg,deepseek_adversarial_rewrite,software_project,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_mixed_tfidf_logreg,hc3_in_domain,finance,1.0000,1.0000,1.0000,1.0000,15,0,15,0,30
aug_mixed_tfidf_logreg,hc3_in_domain,law,0.9667,0.9375,1.0000,0.9677,15,1,14,0,30
aug_mixed_tfidf_logreg,hc3_in_domain,medicine,1.0000,1.0000,1.0000,1.0000,15,0,15,0,30
aug_mixed_tfidf_logreg,hc3_in_domain,nlpcc_dbqa,0.9333,0.9333,0.9333,0.9333,14,1,14,1,30
aug_mixed_tfidf_logreg,hc3_in_domain,open_qa,0.9667,1.0000,0.9333,0.9655,14,0,15,1,30
aug_mixed_tfidf_logreg,hc3_in_domain,psychology,0.9667,0.9375,1.0000,0.9677,15,1,14,0,30
aug_mixed_tfidf_logreg,deepseek_original,ai_security,0.5000,0.5000,1.0000,0.6667,1,1,0,0,2
aug_mixed_tfidf_logreg,deepseek_original,aigc_detection,0.7500,0.6667,1.0000,0.8000,2,1,1,0,4
aug_mixed_tfidf_logreg,deepseek_original,algorithm,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
aug_mixed_tfidf_logreg,deepseek_original,data_privacy,0.5000,0.5000,1.0000,0.6667,1,1,0,0,2
aug_mixed_tfidf_logreg,deepseek_original,health_consulting,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
aug_mixed_tfidf_logreg,deepseek_original,large_model,1.0000,1.0000,1.0000,1.0000,2,0,2,0,4
aug_mixed_tfidf_logreg,deepseek_original,network_engineering,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_mixed_tfidf_logreg,deepseek_original,programming,0.5000,0.5000,1.0000,0.6667,1,1,0,0,2
aug_mixed_tfidf_logreg,deepseek_original,research_training,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_mixed_tfidf_logreg,deepseek_original,software_project,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
aug_mixed_tfidf_logreg,deepseek_casual_rewrite,ai_security,0.5000,0.5000,1.0000,0.6667,1,1,0,0,2
aug_mixed_tfidf_logreg,deepseek_casual_rewrite,aigc_detection,0.2500,0.0000,0.0000,0.0000,0,1,1,2,4
aug_mixed_tfidf_logreg,deepseek_casual_rewrite,algorithm,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
aug_mixed_tfidf_logreg,deepseek_casual_rewrite,data_privacy,0.5000,0.5000,1.0000,0.6667,1,1,0,0,2
aug_mixed_tfidf_logreg,deepseek_casual_rewrite,health_consulting,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_mixed_tfidf_logreg,deepseek_casual_rewrite,large_model,0.7500,1.0000,0.5000,0.6667,1,0,2,1,4
aug_mixed_tfidf_logreg,deepseek_casual_rewrite,network_engineering,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_mixed_tfidf_logreg,deepseek_casual_rewrite,programming,0.0000,0.0000,0.0000,0.0000,0,1,0,1,2
aug_mixed_tfidf_logreg,deepseek_casual_rewrite,research_training,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_mixed_tfidf_logreg,deepseek_casual_rewrite,software_project,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_mixed_tfidf_logreg,deepseek_adversarial_rewrite,ai_security,0.0000,0.0000,0.0000,0.0000,0,1,0,1,2
aug_mixed_tfidf_logreg,deepseek_adversarial_rewrite,aigc_detection,0.7500,0.6667,1.0000,0.8000,2,1,1,0,4
aug_mixed_tfidf_logreg,deepseek_adversarial_rewrite,algorithm,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
aug_mixed_tfidf_logreg,deepseek_adversarial_rewrite,data_privacy,0.0000,0.0000,0.0000,0.0000,0,1,0,1,2
aug_mixed_tfidf_logreg,deepseek_adversarial_rewrite,health_consulting,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_mixed_tfidf_logreg,deepseek_adversarial_rewrite,large_model,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
aug_mixed_tfidf_logreg,deepseek_adversarial_rewrite,network_engineering,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
aug_mixed_tfidf_logreg,deepseek_adversarial_rewrite,programming,0.0000,0.0000,0.0000,0.0000,0,1,0,1,2
aug_mixed_tfidf_logreg,deepseek_adversarial_rewrite,research_training,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
aug_mixed_tfidf_logreg,deepseek_adversarial_rewrite,software_project,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_stylometric_logreg,hc3_in_domain,finance,0.6333,0.8333,0.3333,0.4762,5,1,14,10,30
hc3_stylometric_logreg,hc3_in_domain,law,0.6000,0.6364,0.4667,0.5385,7,4,11,8,30
hc3_stylometric_logreg,hc3_in_domain,medicine,0.6667,0.8571,0.4000,0.5455,6,1,14,9,30
hc3_stylometric_logreg,hc3_in_domain,nlpcc_dbqa,0.5333,1.0000,0.0667,0.1250,1,0,15,14,30
hc3_stylometric_logreg,hc3_in_domain,open_qa,0.6667,1.0000,0.3333,0.5000,5,0,15,10,30
hc3_stylometric_logreg,hc3_in_domain,psychology,0.7667,1.0000,0.5333,0.6957,8,0,15,7,30
hc3_stylometric_logreg,deepseek_original,ai_security,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_stylometric_logreg,deepseek_original,aigc_detection,1.0000,1.0000,1.0000,1.0000,2,0,2,0,4
hc3_stylometric_logreg,deepseek_original,algorithm,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_stylometric_logreg,deepseek_original,data_privacy,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
hc3_stylometric_logreg,deepseek_original,health_consulting,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
hc3_stylometric_logreg,deepseek_original,large_model,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
hc3_stylometric_logreg,deepseek_original,network_engineering,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
hc3_stylometric_logreg,deepseek_original,programming,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_stylometric_logreg,deepseek_original,research_training,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
hc3_stylometric_logreg,deepseek_original,software_project,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_stylometric_logreg,deepseek_casual_rewrite,ai_security,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_stylometric_logreg,deepseek_casual_rewrite,aigc_detection,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
hc3_stylometric_logreg,deepseek_casual_rewrite,algorithm,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_stylometric_logreg,deepseek_casual_rewrite,data_privacy,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_stylometric_logreg,deepseek_casual_rewrite,health_consulting,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_stylometric_logreg,deepseek_casual_rewrite,large_model,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
hc3_stylometric_logreg,deepseek_casual_rewrite,network_engineering,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_stylometric_logreg,deepseek_casual_rewrite,programming,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_stylometric_logreg,deepseek_casual_rewrite,research_training,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_stylometric_logreg,deepseek_casual_rewrite,software_project,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_stylometric_logreg,deepseek_adversarial_rewrite,ai_security,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_stylometric_logreg,deepseek_adversarial_rewrite,aigc_detection,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
hc3_stylometric_logreg,deepseek_adversarial_rewrite,algorithm,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_stylometric_logreg,deepseek_adversarial_rewrite,data_privacy,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_stylometric_logreg,deepseek_adversarial_rewrite,health_consulting,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_stylometric_logreg,deepseek_adversarial_rewrite,large_model,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
hc3_stylometric_logreg,deepseek_adversarial_rewrite,network_engineering,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_stylometric_logreg,deepseek_adversarial_rewrite,programming,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_stylometric_logreg,deepseek_adversarial_rewrite,research_training,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
hc3_stylometric_logreg,deepseek_adversarial_rewrite,software_project,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
